"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"1","Grant Fisher","NIKE / Bowerman Track Club","26:33.84","qualified","declared","men","10000m"
"2","William Kincaid","NIKE","27:06.37","qualified","declared","men","10000m"
"3","Joe Klecker","On Athletics Club","27:07.57","qualified","declared","men","10000m"
"4","Paul Chelimo","American Distance Project","27:12.73","qualified","declared","men","10000m"
"5","Sean McGorty","NIKE / Bowerman Track Club","27:18.15","qualified","declared","men","10000m"
"6","Conner Mantz","NIKE","27:25.23","qualified","declared","men","10000m"
"7","Cole Sprout","Stanford University","27:42.42","qualified","declared","men","10000m"
"8","Matthew Pereira","Central Park Track Club (CPTC) - Tracksmith","27:45.77","qualified","declared","men","10000m"
"9","Sam Chelanga","NIKE / U.S. Army","27:38.02","accepted","declared","men","10000m"
"10","Benjamin Eidenschink","","27:51.74","accepted","declared","men","10000m"
"11","Brandon Garnica","Run Elite Program","28:04.62","accepted","declared","men","10000m"
"12","Willy Fink","Under Armour","28:06.36","accepted","declared","men","10000m"
"13","Ryan Ford","ZAP Endurance","28:09.53","accepted","declared","men","10000m"
"14","Brian Shrader","Saucony","28:11.76","accepted","declared","men","10000m"
"15","Isai Rodriguez","Oklahoma State University","28:15.48","accepted","declared","men","10000m"
"16","Tai Dinger","Wisconsin Runner Racing Team","28:19.79","accepted","declared","men","10000m"
"17","Ryan Johnson","U.S. Air Force Academy","28:20.70","accepted","declared","men","10000m"
"18","Jacob McLeod","University of Arkansas, Fayetteville","28:28.73","accepted","declared","men","10000m"
"19","Habtamu Cheney","Utah Valley University","28:44.22","accepted","declared","men","10000m"
"20","Allen Sumrall","Railroad Athletics","28:44.65","accepted","declared","men","10000m"
"21","Blaise Ferro","PUMA","28:51.66","accepted","declared","men","10000m"
"22","Emmanuel Bor","","28:01.00","accepted","scratched","men","10000m"
"23","Ryan Kutch","Central Park Track Club (CPTC) - Tracksmith","28:45.49","accepted","scratched","men","10000m"
"24","Alicia Monson","On Athletics Club","30:03.82","qualified","declared","women","10000m"
"25","Elise Cranny","NIKE / Bowerman Track Club","30:14.66","qualified","declared","women","10000m"
"26","Karissa Schweizer","NIKE / Bowerman Track Club","30:18.05","qualified","declared","women","10000m"
"27","Natosha Rogers","PUMA / Puma Elite Running","30:48.69","qualified","declared","women","10000m"
"28","Fiona Okeeffe","PUMA","30:52.77","qualified","declared","women","10000m"
"29","Weini Kelati","Under Armour / Dark Sky Distance","31:04.16","qualified","declared","women","10000m"
"30","Ednah Kurgat","U.S. Army","31:12.10","qualified","declared","women","10000m"
"31","Amelia Paladino","New Balance Boston","31:19.92","qualified","declared","women","10000m"
"32","Emily Venters","University of Utah","31:48.35","accepted","declared","women","10000m"
"33","Vanessa Fraser","NIKE / Bowerman Track Club","31:52.11","accepted","declared","women","10000m"
"34","Amanda Vestri","Syracuse University","32:08.26","accepted","declared","women","10000m"
"35","Alexandra Hays","North Carolina State University","32:21.13","accepted","declared","women","10000m"
"36","Sam Nadel","Athletic Club DC","32:28.87","accepted","declared","women","10000m"
"37","Kasandra Parker","","32:36.22","accepted","declared","women","10000m"
"38","India Johnson","University of Colorado, Boulder","32:38.36","accepted","declared","women","10000m"
"39","Hannah Branch","","32:39.68","accepted","declared","women","10000m"
"40","Mackenzie Caldwell","","32:41.63","accepted","declared","women","10000m"
"41","Amaya Noe","Bobcat Track and Field Association","32:50.17","accepted","declared","women","10000m"
"42","Marybeth Chelanga","","33:59.23","accepted","declared","women","10000m"
"43","Jacqueline Gaughan","Craftsbury Green Racing Project","34:14.28","accepted","declared","women","10000m"
"44","Madeline Block","","34:44.62","accepted","declared","women","10000m"
"45","Emily Lipari","adidas","31:24.82","qualified","scratched","women","10000m"
"46","Madeline Alm","","32:01.28","accepted","scratched","women","10000m"
"47","Katie Izzo","adidas","32:22.47","accepted","scratched","women","10000m"
"48","Carrie Mack","Oiselle / Littlewing Athletics","33:17.50","accepted","scratched","women","10000m"
"49","Amelia Keyser-Gibson","Cascadia Elite","33:28.38","accepted","scratched","women","10000m"
"50","Anna Oeser","Battle Road Track Club","33:58.83","info needed","scratched","women","10000m"
