"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"1","Yared Nuguse","On Athletics Club","3:29.02","qualified","declared","men","1500m"
"2","Hobbs Kessler","adidas","3:32.61","qualified","declared","men","1500m"
"3","Cooper Teare","NIKE","3:32.74","qualified","declared","men","1500m"
"4","Cole Hocker","NIKE","3:34.14","qualified","declared","men","1500m"
"5","Casey Comber","Under Armour","3:34.24","qualified","declared","men","1500m"
"6","John Gregorek","ASICS","3:34.35","qualified","declared","men","1500m"
"7","Kasey Knevelbaard","Under Armour","3:34.55","qualified","declared","men","1500m"
"8","Samuel Prakel","adidas","3:34.63","qualified","declared","men","1500m"
"9","Andrew Hunter","adidas","3:34.86","qualified","declared","men","1500m"
"10","Henry Wynne","Brooks / BROOKS Beasts TC","3:35.45","qualified","declared","men","1500m"
"11","Josh Thompson","NIKE / Bowerman Track Club","3:35.55","qualified","declared","men","1500m"
"12","Eric Holt","EMPIRE ELITE TC","3:35.80","qualified","declared","men","1500m"
"13","Joseph Waskom","University of Washington","3:35.86","qualified","declared","men","1500m"
"14","Vincent Ciattei","","3:36.62","qualified","declared","men","1500m"
"15","Matthew Centrowitz","NIKE","3:36.64","qualified","declared","men","1500m"
"16","Craig Engels","NIKE","3:36.79","qualified","declared","men","1500m"
"17","Matt Wisner","Oregon Track Club","3:36.87","qualified","declared","men","1500m"
"18","Andrew Ernst","","3:36.98","qualified","declared","men","1500m"
"19","Isaac Basten","Drake University","3:36.99","qualified","declared","men","1500m"
"20","Nathan Green","University of Washington","3:52.76","qualified","declared","men","1500m"
"21","Christian Noble","New Balance Boston","3:53.50","qualified","declared","men","1500m"
"22","Sam Ellis","","3:53.84","qualified","declared","men","1500m"
"23","John Reniewicki","Under Armour","3:37.06","accepted","declared","men","1500m"
"24","Brett Meyer","","3:37.57","accepted","declared","men","1500m"
"25","Simeon Birnbaum","","3:37.93","accepted","declared","men","1500m"
"26","Elliott Cook","University of Oregon","3:38.12","accepted","declared","men","1500m"
"27","Benjamin Allen","EMPIRE ELITE TC","3:38.61","accepted","declared","men","1500m"
"28","Jack Yearian","Oregon Track Club","3:38.68","accepted","declared","men","1500m"
"29","Nick Foster","University of Michigan","3:38.78","accepted","declared","men","1500m"
"30","Rheinhardt Harrison","University of Oregon","3:38.90","accepted","declared","men","1500m"
"31","Daniel Schaffer","ZAP Endurance","3:39.03","accepted","declared","men","1500m"
"32","Davis Bove","Louisiana State University","3:39.17","accepted","declared","men","1500m"
"33","Matt Strangio","University of Portland","3:39.19","accepted","declared","men","1500m"
"34","Austen Dalquist","Tracksmith","3:39.34","accepted","declared","men","1500m"
"35","Evan Dorenkamp","Pennsylvania State University","3:40.07","accepted","declared","men","1500m"
