"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"44","Sage Hurta-Klecker","On Athletics Club","1:57.85","qualified","declared","women","800m"
"45","Raevyn Rogers","NIKE / Nike Union Athletics Club","1:57.96","qualified","declared","women","800m"
"46","Olivia Baker","Atlanta Track Club","1:58.05","qualified","declared","women","800m"
"47","Allie Wilson","Atlanta Track Club","1:58.09","qualified","declared","women","800m"
"48","Nia Akins","BROOKS Beasts TC","1:58.78","qualified","declared","women","800m"
"49","Juliette Whittaker","Stanford University","1:59.04","qualified","declared","women","800m"
"50","Brooke Feldmeier","","1:59.08","qualified","declared","women","800m"
"51","Michaela Rose","Louisiana State University","1:59.08","qualified","declared","women","800m"
"52","Roisin Willis","Stanford University","1:59.13","qualified","declared","women","800m"
"53","Charlene Lipsey","Under Armour","1:59.26","qualified","declared","women","800m"
"54","Brenna Detra","","1:59.57","qualified","declared","women","800m"
"55","Sabrina Southerland","Under Armour","1:59.63","qualified","declared","women","800m"
"56","Kristie Schoffield","New Balance","1:59.80","qualified","declared","women","800m"
"57","Clarissa Seymour","Brigham Young University","2:00.04","accepted","declared","women","800m"
"58","Emily Richards","Tracksmith","2:00.20","accepted","declared","women","800m"
"59","Kaela Edwards","adidas","2:00.22","accepted","declared","women","800m"
"60","Valery Tobias","University of Texas at Austin","2:00.31","accepted","declared","women","800m"
"61","Laurie Barton","BROOKS Beasts TC","2:00.78","accepted","declared","women","800m"
"62","Samantha Watson","adidas","2:00.84","accepted","declared","women","800m"
"63","Sophia Gorriaran","Rhode Island Track Club","2:01.16","accepted","declared","women","800m"
"64","Mckenna Keegan","NIKE / Nike Union Athletics Club","2:01.27","accepted","declared","women","800m"
"65","Katherine Mitchell","New Balance Boston","2:01.73","accepted","declared","women","800m"
"66","MaLeigha Menegatti","Boise State University","2:02.41","accepted","declared","women","800m"
"67","Aaliyah Miller","On","2:02.43","accepted","declared","women","800m"
"68","Rachel Gearing","Pennsylvania State University","2:02.44","accepted","declared","women","800m"
"69","Danae Rivers","Under Armour","2:02.50","accepted","declared","women","800m"
"70","Honour Finley","","2:02.52","accepted","declared","women","800m"
"71","Kaitlin Ryan","University of Notre Dame","2:02.72","accepted","declared","women","800m"
"72","Presley Weems","Atlanta Track Club","2:02.80","accepted","declared","women","800m"
"73","Kendra Chambers","Oiselle","2:02.84","accepted","declared","women","800m"
"74","Maddy Berkson","Tracksmith / Rhode Island Track Club","2:03.02","accepted","declared","women","800m"
"75","Rachael Walters","Atlanta Track Club","2:03.19","not qualified","not accepted","women","800m"
"76","Mallory Lindaman","Tracksmith","2:03.70","not qualified","not accepted","women","800m"
"77","Samantha Friborg","Yale University","2:03.83","not qualified","not accepted","women","800m"
"78","Michaela Meyer","NIKE / Nike Union Athletics Club","2:03.83","not qualified","not accepted","women","800m"
"79","Anna Connor","Tracksmith / Cascadia Elite","2:05.64","not qualified","not accepted","women","800m"
"80","Taryn Rawlings","adidas","1:59.83","accepted","scratched","women","800m"
"81","Anna Camp-Bennett","adidas","2:01.63","accepted","scratched","women","800m"
"82","Addison Wiley","Huntington University","2:02.33","accepted","scratched","women","800m"
"83","Isabella Giesing","University of Massachusetts Lowell","2:02.35","accepted","scratched","women","800m"
"84","Teagan Schein-Becker","Rider University","2:02.59","not qualified","scratched","women","800m"
"85","Angel Piccirillo","Puma Elite Running","2:02.62","not qualified","scratched","women","800m"
"86","Taiya Shelby","Vanderbilt University","2:03.89","not qualified","scratched","women","800m"
"87","Allison Cash","ASICS","2:03.94","not qualified","scratched","women","800m"
