"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"1","Will Sumner","University of Georgia","1:44.26","qualified","declared","men","800m"
"2","Bryce Hoppel","adidas","1:44.55","qualified","declared","men","800m"
"3","Clayton Murphy","NIKE","1:44.75","qualified","declared","men","800m"
"4","Isaiah Jewett","NIKE","1:45.10","qualified","declared","men","800m"
"5","Kameron Jones","Tracksmith","1:45.20","qualified","declared","men","800m"
"6","Brandon Miller","","1:45.30","qualified","declared","men","800m"
"7","Isaiah Harris","BROOKS Beasts TC","1:45.41","qualified","declared","men","800m"
"8","Wes Ferguson","University of Nebraska at Kearney","1:45.46","qualified","declared","men","800m"
"9","Baylor Franklin","University of Mississippi","1:45.65","qualified","declared","men","800m"
"10","Devin Dixon","BROOKS Beasts TC","1:45.98","qualified","declared","men","800m"
"11","Sam Austin","University of Florida","1:46.06","qualified","declared","men","800m"
"12","Charles Jones Jr.","Under Armour","1:46.22","qualified","declared","men","800m"
"13","Aidan McCarthy","California Polytechnic State University, San Luis Obispo","1:46.26","accepted","declared","men","800m"
"14","Crayton Carrozza","University of Texas at Austin","1:46.28","accepted","declared","men","800m"
"15","Mehdi Yanouri","Oklahoma State University","1:46.50","accepted","declared","men","800m"
"16","Camden Marshall","Indiana University, Bloomington","1:46.57","accepted","declared","men","800m"
"17","Luciano Fiore","EMPIRE ELITE TC","1:46.65","accepted","declared","men","800m"
"18","Aman Thornton","Clemson University","1:46.82","accepted","declared","men","800m"
"19","John Lewis","","1:46.94","accepted","declared","men","800m"
"20","Clay Pender","University of Georgia","1:46.94","accepted","declared","men","800m"
"21","Robert Downs Jr.","Under Armour","1:46.95","accepted","declared","men","800m"
"22","Derek Holdsworth","","1:46.96","accepted","declared","men","800m"
"23","Sean Dolan","Villanova University","1:46.97","accepted","declared","men","800m"
"24","Drew Piazza","New Balance","1:47.12","accepted","declared","men","800m"
"25","Christian Harrison","adidas / Golden Coast Track Club","1:47.24","accepted","declared","men","800m"
"26","Ben Nagel","Virginia Polytechnic Institute and State University","1:47.25","accepted","declared","men","800m"
"27","Alvin Green III","University of Kansas","1:47.34","accepted","declared","men","800m"
"28","Abraham Alvarado","","1:47.48","accepted","declared","men","800m"
"29","Bobby Poynter","University of Southern California","1:47.69","accepted","declared","men","800m"
"30","Mike Jasa","Loras College","1:47.81","accepted","declared","men","800m"
"31","Hazem Miawad","EMPIRE ELITE TC","1:47.97","accepted","declared","men","800m"
"32","Joseph Hoots","University of Tennessee, Knoxville","1:48.08","accepted","declared","men","800m"
"33","Luca Chatham","Tracksmith / Texas Elite Track Club","1:48.65","not qualified","not accepted","men","800m"
"34","Jared Gilley","","1:48.67","not qualified","not accepted","men","800m"
"35","Miles Smith","Peninsula Distance Club","1:48.98","not qualified","not accepted","men","800m"
"36","David Timlin","","1:49.88","not qualified","not accepted","men","800m"
"37","Paris Simmons","","1:50.30","not qualified","not accepted","men","800m"
"38","Vincent Crisp","Under Armour","1:45.03","qualified","scratched","men","800m"
"39","Erik Sowinski","","1:46.01","qualified","scratched","men","800m"
"40","Elliott Cook","University of Oregon","1:46.64","accepted","scratched","men","800m"
"41","Jake Ulrich","","1:48.24","not qualified","scratched","men","800m"
"42","Cass Elliott","University of Washington","1:46.76","accepted","","men","800m"
"43","Ajee Wilson","adidas","1:57.23","qualified","declared","women","800m"
