"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"1","Erriyon Knighton","adidas","19.69","qualified","declared","men","200m"
"2","Michael Norman Jr.","NIKE","19.76","qualified","declared","men","200m"
"3","Kenneth Bednarek","NIKE","19.77","qualified","declared","men","200m"
"4","Fred Kerley Jr.","ASICS","19.83","qualified","declared","men","200m"
"5","Courtney Lindsey","Texas Tech University","19.88","qualified","declared","men","200m"
"6","Robert Gregory Jr.","University of Florida","19.89","qualified","declared","men","200m"
"7","Josephus Lyles","adidas","19.93","qualified","declared","men","200m"
"8","Christian Coleman","NIKE","20.00","qualified","declared","men","200m"
"9","Kyree King","NIKE","20.00","qualified","declared","men","200m"
"10","Terrance Laird","adidas","20.06","qualified","declared","men","200m"
"11","Matthew Boling","University of Georgia","20.12","qualified","declared","men","200m"
"12","Jeremiah Curry","Arizona State University","20.15","qualified","declared","men","200m"
"13","Elijah Morrow","AthleticsTX","20.15","qualified","declared","men","200m"
"14","David Dunlap Jr.","Northern Arizona University","20.16","qualified","declared","men","200m"
"15","Cameron Miller","","20.17","qualified","declared","men","200m"
"16","Brandon Carnes","","20.21","qualified","declared","men","200m"
"17","Amir Willis","Florida State University","20.25","accepted","declared","men","200m"
"18","Austin Kresley","University of Iowa","20.26","accepted","declared","men","200m"
"19","Kendal Williams","adidas","20.37","accepted","declared","men","200m"
"20","Cameron Rose","Clemson University","20.39","accepted","declared","men","200m"
"21","Brice Chabot","University of Texas at San Antonio","20.44","accepted","declared","men","200m"
"22","Cravont Charleston","Tracksmith","20.44","accepted","declared","men","200m"
"23","Trayvion White-Austin","University of Arizona","20.44","accepted","declared","men","200m"
"24","Marqueze Washington","","20.45","accepted","declared","men","200m"
"25","James Benson","University of Arkansas, Fayetteville","20.46","accepted","declared","men","200m"
"26","Evan Miller","University of South Carolina, Columbia","20.48","accepted","declared","men","200m"
"27","Kamden Jackson","Baylor University","20.49","accepted","declared","men","200m"
"28","Connor Washington","University of Arkansas, Fayetteville","20.51","accepted","declared","men","200m"
"29","Sam Blaskowski","University of Wisconsin, La Crosse","20.67","accepted","declared","men","200m"
"30","Michael Gizzi","","20.84","accepted","declared","men","200m"
"31","Demarius Smith","","20.92","accepted","declared","men","200m"
"32","Jae'Len Means","","20.93","accepted","declared","men","200m"
"33","Noah Lyles","adidas","19.31","qualified","scratched","men","200m"
"34","Justin Robinson","Arizona State University","20.47","accepted","scratched","men","200m"
"35","Abby Steiner","PUMA","21.77","qualified","declared","women","200m"
"36","Tamara Clark","adidas / The Buford Bailey Track Club","21.92","qualified","declared","women","200m"
"37","Jenna Prandini","PUMA","22.01","qualified","declared","women","200m"
"38","Gabby Thomas","New Balance","22.05","qualified","declared","women","200m"
"39","Sha'Carri Richardson","NIKE","22.07","qualified","declared","women","200m"
"40","Cambrea Sturgis","adidas","22.11","qualified","declared","women","200m"
"41","Brittany Brown","adidas","22.16","qualified","declared","women","200m"
"42","Tamari Davis","adidas","22.30","qualified","declared","women","200m"
"43","McKenzie Long","University of Mississippi","22.31","qualified","declared","women","200m"
"44","Caisja Chandler","University of Southern California","22.37","qualified","declared","women","200m"
"45","Kayla White","NIKE","22.38","qualified","declared","women","200m"
"46","Jadyn Mays","University of Oregon","22.42","qualified","declared","women","200m"
"47","Autumn Wilson","University of Georgia","22.42","qualified","declared","women","200m"
"48","Mia Brahe-Pedersen","","22.43","qualified","declared","women","200m"
"49","Twanisha Terry","NIKE","22.44","qualified","declared","women","200m"
"50","Jacious Sears","University of Tennessee, Knoxville","22.45","qualified","declared","women","200m"
"51","Ezinne Abba","University of Texas at Austin","22.47","qualified","declared","women","200m"
"52","Anavia Battle","The Buford Bailey Track Club","22.47","qualified","declared","women","200m"
"53","Candace Hill","ASICS","22.50","qualified","declared","women","200m"
"54","Kennedy Blackmon","University of Oklahoma","22.52","qualified","declared","women","200m"
"55","Karimah Davis","University of Kentucky","22.62","accepted","declared","women","200m"
"56","Kynnedy Flannel","University of Florida","22.63","accepted","declared","women","200m"
"57","Divonne Franklin","California University of Pennsylvania","22.65","accepted","declared","women","200m"
"58","Anglerne Annelus","adidas","22.68","accepted","declared","women","200m"
"59","Jassani Carter","","22.77","accepted","declared","women","200m"
"60","Jayla Jamison","University of South Carolina, Columbia","22.77","accepted","declared","women","200m"
"61","Kyra Jefferson","","22.77","accepted","declared","women","200m"
"62","Mariah Ayers","Baylor University","22.78","accepted","declared","women","200m"
"63","Shannon Ray","adidas","22.82","accepted","declared","women","200m"
"64","Jada Baylark","","22.90","accepted","declared","women","200m"
"65","Halle Bieber","Duke University","23.01","accepted","declared","women","200m"
"66","Maia McCoy","","23.28","accepted","declared","women","200m"
"67","Taylor Anderson","Tracksmith / Garden State Track Club","23.59","not qualified","not accepted","women","200m"
"68","Lanae Tava Thomas","","22.38","qualified","scratched","women","200m"
"69","Quanera Hayes","NIKE","23.20","accepted","scratched","women","200m"
"70","Haley Blevins","","26.92","not qualified","scratched","women","200m"
