"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"1","Ryan Willie","University of Florida","44.25","qualified","declared","men","400m"
"2","Vernon Norwood","New Balance","44.35","qualified","declared","men","400m"
"3","Bryce Deadmon","NIKE","44.47","qualified","declared","men","400m"
"4","Justin Robinson","Arizona State University","44.51","qualified","declared","men","400m"
"5","Elija Godwin","University of Georgia","44.55","qualified","declared","men","400m"
"6","Zarik Brown","University of Oklahoma","44.61","qualified","declared","men","400m"
"7","William Jones","University of Southern California","44.65","qualified","declared","men","400m"
"8","Wil London III III","","44.78","qualified","declared","men","400m"
"9","Richard Johnson","University of Oklahoma","44.80","qualified","declared","men","400m"
"10","James Benson","University of Arkansas, Fayetteville","44.82","qualified","declared","men","400m"
"11","Chris Bailey","University of Arkansas, Fayetteville","44.84","qualified","declared","men","400m"
"12","Trevor Stewart","PUMA","44.92","qualified","declared","men","400m"
"13","Noah Williams","adidas","45.04","qualified","declared","men","400m"
"14","Jacory Patterson","University of Florida","45.05","qualified","declared","men","400m"
"15","Quincy Hall","adidas / Ultra Sports, LLC","45.06","qualified","declared","men","400m"
"16","Matthew Moorer","Baylor University","45.08","qualified","declared","men","400m"
"17","Evan Miller","University of South Carolina, Columbia","45.11","qualified","declared","men","400m"
"18","Khaleb McRae","University of Alabama","45.12","qualified","declared","men","400m"
"19","Michael Cherry Jr.","NIKE","45.23","accepted","declared","men","400m"
"20","Willington Wright","University of California, Los Angeles","45.34","accepted","declared","men","400m"
"21","Paul Dedewo","Tracksmith / Phoenix Track Club - Tracksmith","45.35","accepted","declared","men","400m"
"22","Brian Herron","University of Texas at Austin","45.38","accepted","declared","men","400m"
"23","Matthew Boling","University of Georgia","45.58","accepted","declared","men","400m"
"24","Brian Faust","University of Kentucky","45.67","accepted","declared","men","400m"
"25","Auhmad Robinson","Texas A&M University, College Station","45.67","accepted","declared","men","400m"
"26","Jovahn Williamson","University of New Mexico","45.74","accepted","declared","men","400m"
"27","Tavon Underwood","","45.82","accepted","declared","men","400m"
"28","James Milholen","University of Colorado, Boulder","46.06","accepted","declared","men","400m"
"29","Evan Mafilas","","46.22","accepted","declared","men","400m"
"30","Kahmari Montgomery","NIKE","46.25","accepted","declared","men","400m"
"31","Jake Ulrich","","46.60","accepted","declared","men","400m"
"32","Champion Allison","PUMA","43.70","qualified","scratched","men","400m"
"33","Austin Gallant","Pennsylvania State University","47.03","not qualified","scratched","men","400m"
"34","Jayden Davis","","46.24","accepted","","men","400m"
"35","Britton Wilson","University of Arkansas, Fayetteville","49.13","qualified","declared","women","400m"
"36","Sydney McLaughlin-Levrone","New Balance","49.51","qualified","declared","women","400m"
"37","Talitha Diggs","University of Florida","50.15","qualified","declared","women","400m"
"38","Rosaline Effiong","University of Arkansas, Fayetteville","50.17","qualified","declared","women","400m"
"39","Jan'Taijah Jones","University of Southern California","50.31","qualified","declared","women","400m"
"40","Jermaisha Arnold","Texas A&M University, College Station","50.33","qualified","declared","women","400m"
"41","Makenzie Dunmore","Tracksmith","50.35","qualified","declared","women","400m"
"42","Kendall Ellis","New Balance","50.35","qualified","declared","women","400m"
"43","Lynna Irby","adidas","50.38","qualified","declared","women","400m"
"44","Ziyah Holman","University of Michigan","50.40","qualified","declared","women","400m"
"45","Tierra Robinson","Texas A&M University, College Station","50.52","qualified","declared","women","400m"
"46","Alexis Holmes","","50.58","qualified","declared","women","400m"
"47","Paris Peoples","University of Arkansas, Fayetteville","50.60","qualified","declared","women","400m"
"48","Wadeline Jonathas","adidas","50.84","qualified","declared","women","400m"
"49","Bailey Lear","University of Southern California","51.02","accepted","declared","women","400m"
"50","Kaylin Whitney","NIKE RED BULL","51.02","accepted","declared","women","400m"
"51","Latasha Smith","University of Central Florida","51.21","accepted","declared","women","400m"
"52","Courtney Okolo","","51.43","accepted","declared","women","400m"
"53","Taiya Shelby","Vanderbilt University","51.43","accepted","declared","women","400m"
"54","Naasha Robinson","","51.50","accepted","declared","women","400m"
"55","Shae Anderson","","51.51","accepted","declared","women","400m"
"56","Kiah Williams","University of Central Florida","51.59","accepted","declared","women","400m"
"57","Taylor Manson","","51.63","accepted","declared","women","400m"
"58","Maya Singletary","Charlotte","51.67","accepted","declared","women","400m"
"59","Jada Griffin","North Carolina A&T State University","51.69","accepted","declared","women","400m"
"60","Quanera Hayes","NIKE","51.74","accepted","declared","women","400m"
"61","Brittany Aveni","","52.22","accepted","declared","women","400m"
"62","Shakima Wimbley","","52.22","accepted","declared","women","400m"
"63","Ava Alexander","MAVERIC AthleticsTrack Club","55.38","accepted","declared","women","400m"
"64","Kendra Chambers","Oiselle","53.49","accepted","scratched","women","400m"
